                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5388,                0.92285,                 1.6403,                0.84242,                0.82673,                0.88125,                0.45935,                 1.5494,                0.87039,                 1.7178,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5706,                0.92381,                 1.6614,                 0.7919,                0.71029,                0.76903,                0.38842,                 1.6375,                 1.0672,                 1.7924,               0.008317,               0.008317,               0.008317
                     36,                 1.5598,                0.93445,                  1.642,                0.81058,                0.82771,                 0.8717,                0.42873,                  1.587,                0.87523,                 1.7167,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5351,                0.89502,                  1.625,                0.84789,                0.84279,                0.89381,                 0.4535,                  1.568,                0.84026,                 1.7078,               0.008218,               0.008218,               0.008218
                     38,                 1.5206,                0.90424,                 1.6136,                0.88132,                0.89095,                0.91508,                0.46029,                 1.5595,                0.84031,                 1.6993,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5384,                0.91932,                 1.6331,                0.87556,                0.83179,                0.88876,                0.46484,                 1.5501,                0.86897,                 1.6896,               0.008119,               0.008119,               0.008119
                     40,                  1.535,                0.91634,                 1.6233,                 0.8079,                0.86378,                0.86115,                0.44663,                 1.5761,                0.85516,                 1.7208,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5346,                0.89725,                 1.6176,                  0.875,                0.84625,                0.89582,                0.45207,                 1.5743,                0.85981,                 1.7301,                0.00802,                0.00802,                0.00802
                     42,                 1.5231,                0.89241,                 1.6042,                0.84511,                0.86286,                0.91424,                0.47499,                 1.5391,                 0.8065,                 1.6804,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4908,                0.86814,                 1.5901,                0.58498,                0.69791,                0.60897,                0.32501,                 1.6595,                 1.0558,                 1.7674,               0.007921,               0.007921,               0.007921
                     44,                 1.5114,                0.87822,                 1.6035,                 0.5294,                0.62805,                 0.5539,                0.30158,                 1.7364,                 1.2315,                  1.825,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5166,                0.90031,                 1.6142,                0.82469,                0.84479,                0.85086,                0.42102,                 1.6231,                0.90609,                 1.7268,               0.007822,               0.007822,               0.007822
                     46,                 1.4883,                0.85328,                 1.5861,                0.84497,                0.83583,                0.87474,                0.45643,                 1.5408,                0.84406,                 1.6693,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5195,                0.89565,                 1.5996,                0.50623,                0.55676,                0.52672,                0.24919,                 1.8907,                 1.4552,                 1.9844,               0.007723,               0.007723,               0.007723
                     48,                 1.5147,                0.87949,                 1.5967,                0.84207,                0.84124,                0.89981,                0.44454,                 1.6014,                0.87998,                 1.7051,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5003,                0.87304,                 1.5845,                0.86004,                 0.8218,                0.85901,                0.44907,                 1.5638,                0.85214,                  1.682,               0.007624,               0.007624,               0.007624
                     50,                 1.5012,                0.86798,                 1.5846,                0.84667,                0.78948,                0.84955,                0.42254,                 1.6289,                0.86705,                 1.7268,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4993,                0.86587,                 1.5832,                0.79857,                 0.7451,                0.78528,                0.39585,                  1.612,                0.96552,                 1.7099,               0.007525,               0.007525,               0.007525
                     52,                 1.4885,                0.87504,                 1.5796,                0.83752,                0.84092,                0.88705,                0.44231,                 1.6214,                0.86714,                 1.7222,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5024,                0.88739,                 1.5794,                0.81772,                 0.7724,                0.82323,                0.42269,                 1.6234,                0.90576,                 1.6937,               0.007426,               0.007426,               0.007426
                     54,                 1.4792,                0.85779,                  1.544,                0.81938,                0.82709,                0.87413,                0.44291,                   1.55,                0.82954,                 1.6534,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4866,                0.86717,                 1.5639,                0.85846,                0.81539,                 0.8639,                0.43221,                 1.6218,                0.84991,                  1.706,               0.007327,               0.007327,               0.007327
                     56,                 1.4881,                0.85309,                 1.5687,                0.77222,                0.78837,                0.80772,                0.40051,                 1.6218,                0.86391,                 1.7124,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4647,                0.83426,                  1.549,                0.83053,                0.83175,                0.86026,                0.43278,                 1.6199,                0.84639,                 1.7035,               0.007228,               0.007228,               0.007228
                     58,                 1.4857,                0.86573,                 1.5782,                0.95347,                0.77331,                0.87414,                0.45695,                 1.5815,                0.80806,                  1.673,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4688,                0.83303,                 1.5378,                0.85138,                0.84846,                0.89887,                0.45211,                 1.5805,                0.78878,                 1.6784,               0.007129,               0.007129,               0.007129
