                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.546,                0.90173,                 1.7688,                0.80162,                0.82269,                0.84756,                0.41846,                 1.6072,                0.92328,                 1.9509,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5658,                0.90445,                 1.7851,                0.73208,                0.65118,                 0.7008,                0.35406,                 1.6634,                 1.1232,                 2.0242,               0.008317,               0.008317,               0.008317
                     36,                 1.5698,                0.91501,                 1.7721,                0.83214,                0.83939,                0.88163,                0.42824,                  1.622,                0.90447,                 1.9732,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5439,                0.88165,                 1.7516,                0.83177,                0.83469,                0.85956,                0.43452,                 1.6172,                  0.888,                 1.9623,               0.008218,               0.008218,               0.008218
                     38,                 1.5361,                0.88027,                 1.7521,                0.83696,                0.87605,                0.89356,                0.45575,                 1.5653,                0.90713,                 1.9115,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5423,                0.90067,                 1.7652,                0.86535,                0.85312,                0.91093,                0.46615,                 1.5531,                0.84533,                 1.9093,               0.008119,               0.008119,               0.008119
                     40,                 1.5419,                0.89264,                 1.7607,                0.87353,                0.87171,                0.92755,                0.46464,                 1.5725,                0.82903,                 1.9508,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5476,                0.88522,                 1.7555,                0.83022,                0.84295,                0.89285,                0.44154,                 1.6063,                0.87392,                 1.9717,                0.00802,                0.00802,                0.00802
                     42,                 1.5261,                0.87609,                 1.7296,                0.86158,                0.87648,                0.91715,                0.47094,                 1.5551,                0.82466,                 1.9119,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4907,                0.85207,                 1.7249,                0.71019,                0.84833,                0.78001,                0.39935,                 1.5886,                0.90712,                 1.9454,               0.007921,               0.007921,               0.007921
                     44,                 1.5153,                0.86473,                 1.7327,                0.55923,                0.62697,                0.58183,                0.30006,                 1.7812,                 1.1638,                 2.1177,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5271,                0.87694,                 1.7432,                0.63767,                0.65279,                0.64483,                0.33414,                 1.8006,                 1.1649,                   2.11,               0.007822,               0.007822,               0.007822
                     46,                 1.4855,                0.84805,                 1.7159,                0.82145,                0.85838,                0.88843,                0.44369,                 1.6063,                0.83013,                 1.9597,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5198,                0.88227,                  1.728,                0.84284,                0.86563,                0.90996,                0.44184,                 1.5818,                0.85831,                 1.9348,               0.007723,               0.007723,               0.007723
                     48,                  1.509,                 0.8799,                 1.7322,                0.80107,                0.68511,                0.73542,                 0.3735,                 1.6566,                 1.0471,                 1.9881,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5116,                0.86829,                 1.7281,                0.76689,                0.82634,                0.86847,                0.44635,                 1.5916,                0.83513,                  1.918,               0.007624,               0.007624,               0.007624
                     50,                 1.5057,                0.86304,                 1.7242,                0.81351,                0.82012,                0.82952,                0.41564,                 1.6769,                0.86413,                 1.9759,              0.0075745,              0.0075745,              0.0075745
