                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5522,                0.90403,                 1.6805,                0.68905,                0.76936,                0.78301,                0.39158,                 1.6522,                0.96606,                 1.8701,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5756,                 0.9028,                 1.7009,                 0.8004,                0.79049,                0.83769,                0.38655,                 1.6978,                0.96995,                 1.8968,               0.008317,               0.008317,               0.008317
                     36,                 1.5721,                 0.9135,                 1.6916,                0.77264,                0.76369,                0.79059,                0.39577,                 1.6281,                0.99779,                 1.8285,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5537,                0.87941,                 1.6695,                0.68597,                0.67229,                0.65676,                0.33786,                 1.6792,                  1.229,                 1.8605,               0.008218,               0.008218,               0.008218
                     38,                 1.5417,                0.88257,                 1.6597,                0.86583,                0.86457,                0.90115,                0.45032,                 1.6232,                0.90356,                 1.8026,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5578,                0.90261,                 1.6855,                0.67139,                 0.6279,                0.66989,                0.33862,                  1.744,                 1.1998,                 1.8896,               0.008119,               0.008119,               0.008119
                     40,                 1.5569,                0.89921,                 1.6746,                0.60473,                0.63871,                0.59925,                0.31588,                 1.7453,                 1.2866,                 1.9071,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5548,                0.89001,                 1.6665,                0.74623,                0.79719,                0.77411,                0.37526,                 1.6813,                  1.047,                 1.8536,                0.00802,                0.00802,                0.00802
                     42,                 1.5277,                0.87738,                 1.6463,                0.75551,                0.72342,                0.73462,                0.38022,                 1.6637,                 0.9943,                 1.8158,              0.0079705,              0.0079705,              0.0079705
                     43,                   1.51,                0.85537,                 1.6408,                0.90826,                0.86748,                0.91231,                0.45334,                 1.6627,                0.83166,                 1.8117,               0.007921,               0.007921,               0.007921
                     44,                 1.5291,                0.87583,                 1.6529,                0.78678,                0.80348,                0.83072,                0.41345,                 1.6389,                0.88902,                 1.7788,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5294,                0.87924,                 1.6569,                0.80059,                 0.8334,                0.85866,                0.43078,                  1.604,                 0.9132,                 1.7475,               0.007822,               0.007822,               0.007822
                     46,                  1.493,                0.84712,                 1.6208,                0.80628,                0.82382,                0.84834,                0.42467,                 1.5965,                0.86802,                 1.7505,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5222,                0.87869,                 1.6357,                0.73097,                0.79447,                0.79094,                 0.3938,                 1.6244,                 1.0067,                 1.7871,               0.007723,               0.007723,               0.007723
                     48,                 1.5243,                0.87795,                 1.6423,                0.84151,                0.87644,                0.88429,                0.44148,                 1.6327,                 0.8428,                 1.7656,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5114,                0.87292,                 1.6305,                0.82186,                 0.8444,                0.86809,                0.44803,                 1.5655,                0.82794,                 1.7258,               0.007624,               0.007624,               0.007624
                     50,                 1.5154,                0.86187,                 1.6293,                0.83439,                0.87991,                0.90608,                 0.4454,                  1.628,                0.84515,                 1.7569,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.515,                0.85592,                 1.6281,                0.70383,                0.72824,                0.74675,                0.39054,                 1.5826,                0.94682,                  1.759,               0.007525,               0.007525,               0.007525
                     52,                 1.5035,                 0.8629,                 1.6308,                0.86116,                0.87737,                0.90569,                0.45137,                 1.5763,                0.80602,                 1.7567,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5203,                0.87643,                 1.6368,                0.92236,                0.84018,                0.90838,                0.45576,                 1.5873,                0.80814,                 1.7353,               0.007426,               0.007426,               0.007426
                     54,                 1.4978,                0.85023,                 1.5978,                 0.8494,                0.91107,                0.92199,                0.45578,                 1.5699,                0.80582,                 1.7184,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.5063,                0.86352,                 1.6193,                 0.8938,                0.83583,                 0.9148,                0.46025,                 1.5968,                0.81644,                 1.7411,               0.007327,               0.007327,               0.007327
                     56,                 1.5039,                0.84613,                 1.6214,                0.75334,                0.81853,                0.77778,                0.39145,                 1.6444,                 0.9527,                 1.7909,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4772,                0.82691,                 1.6008,                 0.8039,                0.83783,                0.86336,                0.44555,                 1.5861,                  0.873,                 1.7464,               0.007228,               0.007228,               0.007228
                     58,                 1.5124,                0.85751,                 1.6397,                0.51643,                 0.5079,                0.50983,                0.27726,                 1.9345,                   1.63,                 2.0572,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4913,                0.82479,                 1.5872,                 0.8414,                  0.839,                0.86615,                0.42105,                 1.6429,                0.82522,                 1.7747,               0.007129,               0.007129,               0.007129
                     60,                 1.4882,                0.83773,                 1.6039,                0.64853,                0.64596,                0.66159,                0.35761,                 1.6668,                 1.1497,                 1.8301,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4794,                0.83301,                 1.5923,                0.83658,                0.87324,                0.88777,                0.42622,                 1.6196,                0.82339,                  1.757,                0.00703,                0.00703,                0.00703
                     62,                 1.4459,                0.81876,                 1.5653,                  0.815,                0.87026,                0.87769,                0.44405,                 1.6159,                0.86477,                 1.7721,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4788,                0.83092,                 1.5994,                0.81521,                0.84757,                0.87776,                0.44551,                 1.5887,                0.80413,                 1.7245,               0.006931,               0.006931,               0.006931
                     64,                 1.4591,                0.81691,                 1.5905,                0.87333,                0.90303,                0.92178,                0.45156,                 1.6218,                0.78166,                 1.7533,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4859,                0.84515,                 1.5994,                0.88894,                0.91178,                0.92986,                0.46832,                 1.5854,                0.76468,                 1.7266,               0.006832,               0.006832,               0.006832
                     66,                 1.4685,                0.80773,                 1.5656,                0.83776,                0.88988,                0.87574,                0.43544,                 1.6071,                0.82981,                 1.7476,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4543,                0.82173,                 1.5698,                0.76629,                0.84981,                0.83927,                0.40627,                 1.6501,                0.86007,                  1.771,               0.006733,               0.006733,               0.006733
                     68,                 1.4587,                0.83002,                 1.5698,                0.85105,                 0.8839,                  0.914,                0.46584,                 1.5673,                0.78324,                 1.7178,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4601,                0.82978,                 1.5745,                0.79275,                 0.8539,                0.85138,                0.43245,                 1.5657,                0.82363,                 1.7137,               0.006634,               0.006634,               0.006634
                     70,                 1.4407,                0.81204,                 1.5582,                0.84629,                0.86919,                 0.9086,                0.46354,                 1.5776,                0.76421,                 1.7213,              0.0065845,              0.0065845,              0.0065845
                     71,                  1.453,                0.80677,                 1.5605,                 0.8915,                0.89913,                0.92209,                0.47298,                 1.5461,                0.76531,                 1.6969,               0.006535,               0.006535,               0.006535
                     72,                 1.4724,                0.83413,                 1.5793,                0.81809,                0.79285,                0.84569,                0.42677,                 1.5895,                0.83594,                 1.7207,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.4338,                0.81492,                 1.5503,                0.77648,                0.82659,                0.84452,                0.40458,                 1.6682,                0.84926,                 1.7659,               0.006436,               0.006436,               0.006436
                     74,                  1.447,                0.80566,                 1.5623,                0.79834,                0.82542,                0.85693,                0.43681,                 1.5692,                0.84445,                 1.7136,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4602,                0.82676,                 1.5687,                0.73869,                0.79449,                0.81398,                  0.419,                 1.5827,                0.87635,                  1.728,               0.006337,               0.006337,               0.006337
                     76,                 1.4366,                0.82576,                 1.5504,                0.87747,                0.88963,                0.91982,                 0.4455,                 1.6058,                0.77113,                 1.7529,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.4303,                0.79043,                 1.5461,                0.87413,                 0.8539,                0.90411,                0.45755,                 1.5831,                0.76023,                 1.7131,               0.006238,               0.006238,               0.006238
                     78,                  1.405,                0.77905,                 1.5315,                0.87262,                0.88989,                 0.9073,                0.44563,                 1.6271,                0.78782,                 1.7503,              0.0061885,              0.0061885,              0.0061885
                     79,                   1.44,                0.80063,                 1.5526,                0.88897,                0.87095,                0.91152,                0.45277,                 1.5861,                0.76497,                  1.722,               0.006139,               0.006139,               0.006139
                     80,                 1.4076,                0.79212,                 1.5202,                0.87528,                0.87702,                0.91866,                0.44867,                 1.5894,                0.78128,                 1.7323,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4426,                0.80406,                 1.5494,                0.87665,                0.84664,                0.89246,                0.42615,                 1.6858,                0.79083,                 1.7745,                0.00604,                0.00604,                0.00604
                     82,                 1.4432,                0.80188,                 1.5573,                0.81789,                0.85134,                0.87155,                 0.4118,                 1.6471,                0.82369,                 1.7673,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.4039,                0.79203,                 1.5352,                0.86525,                0.87196,                0.90457,                0.45142,                 1.6105,                0.77198,                 1.7263,               0.005941,               0.005941,               0.005941
                     84,                 1.4302,                0.79892,                 1.5429,                 0.9058,                0.85785,                0.92263,                0.44534,                 1.5978,                0.76291,                 1.7292,              0.0058915,              0.0058915,              0.0058915
