                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5389,                0.89509,                 1.7761,                0.88398,                0.85743,                0.89943,                0.44826,                 1.5748,                0.85373,                 1.9521,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5647,                0.89753,                 1.7954,                0.68884,                0.77873,                 0.7107,                0.35871,                 1.6384,                0.99731,                 2.0321,               0.008317,               0.008317,               0.008317
                     36,                 1.5629,                0.90997,                 1.7755,                0.89265,                0.87469,                0.90977,                0.44355,                 1.5858,                0.88001,                 1.9703,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5457,                0.87971,                 1.7618,                0.40476,                  0.449,                0.46532,                0.21852,                 1.9411,                 1.6108,                 2.3183,               0.008218,               0.008218,               0.008218
                     38,                 1.5332,                0.88595,                 1.7574,                0.77138,                0.76139,                0.77497,                 0.3872,                  1.663,                 1.0129,                 2.0228,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5439,                0.89961,                 1.7769,                0.86528,                0.85799,                0.90861,                0.45551,                 1.5766,                0.84703,                 1.9457,               0.008119,               0.008119,               0.008119
                     40,                 1.5351,                0.89026,                 1.7653,                0.82765,                0.81049,                0.86182,                0.43759,                 1.5788,                0.87544,                 1.9523,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5461,                  0.879,                 1.7656,                0.82194,                 0.8411,                0.89968,                0.43618,                 1.6041,                0.88147,                 1.9839,                0.00802,                0.00802,                0.00802
                     42,                 1.5316,                0.87291,                 1.7415,                 0.6542,                0.63249,                0.63689,                0.33211,                 1.6784,                 1.1388,                  2.062,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4903,                0.85452,                 1.7346,                0.83024,                0.83808,                0.87288,                0.42799,                 1.6319,                0.91857,                 1.9955,               0.007921,               0.007921,               0.007921
                     44,                 1.5151,                0.86404,                 1.7437,                0.77232,                0.60002,                0.68751,                0.34615,                 1.6805,                 1.1035,                 2.0684,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5143,                0.88373,                 1.7471,                0.80906,                0.84495,                0.86548,                0.39548,                 1.6853,                0.97614,                 2.0502,               0.007822,               0.007822,               0.007822
                     46,                 1.4785,                0.84566,                 1.7234,                0.85645,                0.83583,                 0.8981,                0.44526,                 1.5946,                0.82537,                 1.9617,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5218,                0.87405,                 1.7408,                0.87002,                0.86382,                0.90067,                 0.4367,                 1.5688,                0.86872,                  1.974,               0.007723,               0.007723,               0.007723
                     48,                 1.5098,                0.88522,                 1.7457,                0.60397,                0.57094,                0.57923,                0.32251,                 1.6649,                 1.2488,                 2.0438,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5062,                0.87618,                 1.7374,                0.83804,                 0.8348,                0.88285,                0.42898,                 1.5995,                0.89566,                 1.9635,               0.007624,               0.007624,               0.007624
                     50,                 1.5117,                0.86876,                 1.7403,                0.87091,                0.82005,                0.87085,                0.44199,                 1.6012,                0.87215,                  1.952,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4942,                0.85726,                 1.7252,                0.86744,                0.82119,                0.89765,                0.44111,                 1.6073,                0.84546,                 1.9747,               0.007525,               0.007525,               0.007525
                     52,                 1.4985,                0.85834,                 1.7268,                0.87966,                0.88305,                0.92382,                0.46537,                 1.5528,                0.82663,                 1.9137,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5039,                0.86727,                 1.7282,                0.90158,                0.87776,                0.92628,                0.46663,                 1.5914,                0.81024,                 1.9404,               0.007426,               0.007426,               0.007426
                     54,                 1.4794,                 0.8493,                 1.6896,                 0.9854,                0.46118,                0.53466,                0.30192,                 1.8773,                 1.6384,                 2.2202,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4998,                 0.8649,                  1.731,                0.74554,                0.79786,                0.79772,                0.40996,                  1.619,                0.91318,                  1.971,               0.007327,               0.007327,               0.007327
                     56,                 1.4892,                0.84763,                 1.7299,                0.85749,                0.71306,                0.79019,                0.41015,                 1.5969,                0.92485,                 1.9548,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4618,                0.82834,                 1.7034,                 0.8722,                0.86656,                0.89726,                0.44399,                  1.592,                  0.848,                 1.9553,               0.007228,               0.007228,               0.007228
                     58,                 1.4946,                0.84944,                 1.7339,                0.81948,                0.85007,                0.89142,                0.43406,                 1.6003,                 0.8277,                  1.979,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4669,                0.82673,                 1.6841,                0.84441,                0.90005,                0.90126,                0.42321,                 1.6071,                0.84988,                 1.9785,               0.007129,               0.007129,               0.007129
                     60,                 1.4805,                 0.8403,                 1.7117,                0.88627,                0.85073,                0.91327,                0.43698,                 1.6208,                0.80173,                 1.9744,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4659,                0.83121,                 1.6934,                0.86677,                0.78005,                0.86291,                 0.4219,                 1.6287,                0.90928,                 1.9857,                0.00703,                0.00703,                0.00703
                     62,                 1.4303,                0.81529,                  1.664,                0.72941,                0.88647,                0.78413,                0.40831,                 1.5582,                0.85125,                 1.9409,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4676,                0.82649,                 1.7013,                0.84638,                 0.8764,                 0.9035,                0.44108,                 1.6297,                0.86706,                 1.9909,               0.006931,               0.006931,               0.006931
                     64,                 1.4458,                0.82104,                  1.704,                 0.8614,                0.88224,                0.92401,                0.45275,                 1.5944,                0.81771,                  1.958,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4672,                0.84932,                 1.7225,                0.83963,                0.85507,                0.87481,                0.44301,                 1.5866,                 0.8161,                 1.9623,               0.006832,               0.006832,               0.006832
                     66,                  1.455,                0.80738,                  1.667,                0.78627,                0.85028,                0.86212,                0.42412,                 1.5914,                0.87359,                 1.9689,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4435,                0.82775,                 1.6749,                 0.8572,                0.85559,                0.91377,                0.46438,                 1.5499,                0.80384,                  1.936,               0.006733,               0.006733,               0.006733
                     68,                 1.4471,                0.82446,                 1.6797,                0.59344,                0.69699,                0.63077,                0.33267,                 1.6513,                 1.0048,                 2.0359,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.456,                0.83065,                 1.6943,                0.86064,                0.87416,                0.89902,                0.45136,                 1.5961,                0.79111,                 1.9562,               0.006634,               0.006634,               0.006634
                     70,                 1.4289,                0.81427,                 1.6654,                0.59596,                0.70669,                0.62102,                0.33312,                 1.6467,                 1.0125,                 2.0047,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4344,                0.80529,                 1.6652,                 0.8164,                0.83184,                0.85254,                 0.4264,                 1.5859,                0.85324,                 1.9164,               0.006535,               0.006535,               0.006535
                     72,                 1.4486,                0.83807,                 1.6788,                0.72084,                0.81728,                0.77204,                0.38752,                  1.647,                0.90377,                 1.9866,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.4229,                0.82709,                 1.6573,                 0.8626,                0.81276,                0.89513,                0.45346,                 1.5619,                0.79913,                 1.9284,               0.006436,               0.006436,               0.006436
                     74,                  1.429,                0.81307,                 1.6695,                0.84115,                 0.8539,                0.89012,                0.45058,                 1.5964,                0.79259,                 1.9459,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4528,                0.81545,                 1.6845,                0.82103,                0.84216,                0.87068,                0.42684,                 1.6123,                0.84895,                 1.9656,               0.006337,               0.006337,               0.006337
                     76,                  1.422,                0.82744,                 1.6517,                0.84531,                0.86432,                0.90173,                 0.4531,                 1.5457,                0.79587,                 1.9183,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.4271,                0.79981,                 1.6602,                0.82845,                0.80643,                0.85578,                0.42834,                 1.5946,                0.80925,                 1.9574,               0.006238,               0.006238,               0.006238
                     78,                 1.3937,                0.78353,                 1.6413,                0.69457,                0.80458,                0.72813,                0.35992,                 1.6533,                  0.943,                 2.0058,              0.0061885,              0.0061885,              0.0061885
                     79,                  1.422,                0.81051,                 1.6621,                0.76052,                0.82343,                0.78743,                0.39422,                 1.6005,                0.86188,                 1.9723,               0.006139,               0.006139,               0.006139
                     80,                 1.4103,                0.79529,                 1.6338,                 0.8567,                0.82897,                0.88814,                0.43772,                 1.5925,                0.79725,                 1.9606,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4221,                0.80558,                 1.6482,                0.87429,                0.86154,                 0.9111,                0.45123,                 1.5917,                0.76823,                 1.9561,                0.00604,                0.00604,                0.00604
                     82,                 1.4169,                0.81026,                 1.6707,                0.88101,                0.91349,                0.93093,                 0.4499,                 1.5846,                0.77759,                 1.9572,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.3869,                0.80216,                 1.6516,                 0.7638,                0.78373,                0.81873,                0.41911,                 1.6051,                0.86574,                 1.9642,               0.005941,               0.005941,               0.005941
                     84,                 1.4198,                0.80174,                 1.6623,                0.81638,                0.86748,                0.89327,                0.43917,                 1.5737,                0.80906,                 1.9439,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3973,                0.78344,                 1.6348,                0.86602,                0.86916,                 0.9174,                0.45007,                 1.5993,                0.77976,                 1.9533,               0.005842,               0.005842,               0.005842
                     86,                 1.4105,                0.81014,                 1.6494,                 0.8799,                 0.8538,                0.93181,                0.45783,                 1.5835,                0.76781,                  1.965,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.4071,                 0.7795,                 1.6541,                0.84012,                0.85745,                0.90206,                0.43211,                 1.6317,                0.79742,                 2.0218,               0.005743,               0.005743,               0.005743
                     88,                 1.3984,                0.80019,                 1.6403,                0.88639,                 0.7688,                0.86622,                0.42035,                 1.6009,                0.85085,                 1.9698,              0.0056935,              0.0056935,              0.0056935
